  dataset       zr a_angryt1_neutralt2_early v_angryt1_neutralt2_early t0_angryt1_neutralt2_early        d a_angryt1_angryt2_early v_angryt1_angryt2_early t0_angryt1_angryt2_early a_neutralt1_angryt2_early v_neutralt1_angryt2_early t0_neutralt1_angryt2_early a_absent_neutralt2_late v_absent_neutralt2_late t0_absent_neutralt2_late a_neutralt1_angryt2_late v_neutralt1_angryt2_late t0_neutralt1_angryt2_late a_neutralt1_neutralt2_early v_neutralt1_neutralt2_early t0_neutralt1_neutralt2_early a_angryt1_neutralt2_late v_angryt1_neutralt2_late t0_angryt1_neutralt2_late a_neutralt1_neutralt2_late v_neutralt1_neutralt2_late t0_neutralt1_neutralt2_late a_absent_neutralt2_early v_absent_neutralt2_early t0_absent_neutralt2_early a_absent_angryt2_late v_absent_angryt2_late t0_absent_angryt2_late a_absent_angryt2_early v_absent_angryt2_early t0_absent_angryt2_early a_angryt1_angryt2_late v_angryt1_angryt2_late t0_angryt1_angryt2_late  penalty      fit     time   method
      139   0.5096   1.4553   0.3990   0.2678   0.0126   1.5169   0.6186   0.1665   1.3527   0.7084   0.2347   1.7554   1.5779   0.2009   1.6389   1.0695   0.2057   1.5007   0.5406   0.2253   1.7225   0.6867   0.2375   1.4806   0.8578   0.2342   1.5460   0.9784   0.2774   1.5638   0.7835   0.2863   1.6037   0.9535   0.2584   1.8348   1.2964   0.2182   0.0000 423.6751   0.5200       ML
      140   0.4360   1.1019   1.0801   0.1799   0.0378   1.2574   1.1512   0.1219   1.0981   1.5136   0.2135   1.3396   2.4769   0.4136   1.4358   2.0333   0.1764   1.0010   1.7211   0.2162   1.6672   2.4584   0.1462   1.4358   2.9198   0.2403   1.5022   2.2732   0.2192   1.6496   1.2770   0.2443   1.4560   1.5509   0.2201   1.4591   2.0559   0.1734   0.0000 -19.7899   0.5100       ML
      141   0.5025   1.5982   0.5292   0.2038   0.0034   1.4056   0.5462   0.2517   1.5385   0.1178   0.1268   1.3359   1.1289   0.3457   1.5068   0.7129   0.1893   1.2761   0.4801   0.3362   1.4090   0.4927   0.2646   1.4420   0.3978   0.2518   1.4991   0.7570   0.1722   1.3311   1.9114   0.2732   1.2794   0.7383   0.2810   1.4020   1.2339   0.2772   0.0000 384.6669   0.5230       ML
      142   0.4646   1.3231   0.8014   0.3011   0.0482   1.2354   0.7953   0.3053   1.2039   1.1391   0.3060   1.9157   2.0894   0.3958   1.9452   2.4624   0.2839   1.2649   1.0391   0.3113   1.4933   1.1860   0.2965   1.4272   1.4474   0.3075   1.4910   1.1082   0.3073   1.7649   1.9087   0.3972   1.3199   1.3846   0.4041   1.5985   1.6506   0.2824   0.0000 192.2143   0.5400       ML
      143   0.4743   1.3341   1.1155   0.1849   0.0412   1.0672   1.1334   0.2597   1.2441   1.2721   0.2240   1.2141   1.5337   0.2832   1.7780   1.6755   0.1847   1.2471   0.7058   0.2298   1.4276   1.1724   0.1910   1.1110   1.4056   0.2931   1.6804   1.3678   0.1663   1.5647   1.0418   0.2684   1.1108   2.1082   0.3056   1.3901   1.5016   0.1569   0.0000 127.9137   0.5010       ML
      145   0.5750   1.9505   0.2303   0.1715  -0.0401   2.0303   0.6776   0.2183   2.1819   0.5134   0.1983   2.1547   0.7072   0.4381   1.9478   0.7642   0.2295   2.2966   0.4808   0.2005   2.0519   0.1368   0.2119   2.2152   0.4015   0.2279   2.0497   0.4175   0.2430   2.7931   1.1482   0.2343   1.7842   1.2590   0.2629   2.4473   0.9180   0.1972   0.0000 729.3442   0.5100       ML
      147   0.5634   0.9152   0.6304   0.2511  -0.0151   1.0396   0.9298   0.1952   0.9389   1.3039   0.2487   1.0248   0.9969   0.2870   0.8749   0.7432   0.2822   1.0547   0.7906   0.2088   1.0730   1.0233   0.2240   1.0310   2.7510   0.2521   1.0177   1.5805   0.2988   1.0857   0.9387   0.2916   1.0373   1.8252   0.2679   0.9719   1.1633   0.2535   0.0000 -144.4591   0.5300       ML
      148   0.4930   1.6335   0.6938   0.1912   0.0658   1.4542   0.8140   0.2169   1.4293   1.0096   0.1596   1.8044   1.0808   0.4648   1.6902   0.8562   0.2072   1.7230   0.7404   0.0857   1.8678   1.3993   0.2167   1.9992   1.2575   0.1011   1.7184   1.2996   0.3358   1.4608   1.3237   0.5047   1.5865   0.6290   0.3607   1.6602   1.7653   0.2178   0.0000 385.7686   0.5010       ML
      149   0.4535   1.5510   0.6226   0.0914   0.0808   1.3769   0.8852   0.1906   1.4295   0.5475   0.1505   1.5778   1.1030   0.2976   1.6154   0.6384   0.1208   1.5804   0.6765   0.1016   1.7809   0.8522   0.1268   1.9564   0.8317   0.0992   1.7476   1.0887   0.1240   2.0952   1.5701   0.1968   1.5655   0.9329   0.1650   1.6632   0.8292   0.1035   0.0000 472.0905   0.5120       ML
      150   0.5057   1.1710   0.4376   0.1317  -0.0009   1.0585   1.0169   0.1805   1.2804   1.6937   0.1264   1.2979   1.1592   0.3033   0.9650   1.7142   0.2575   1.2865   0.8599   0.1258   1.1452   1.3968   0.2031   1.0553   1.7290   0.2424   1.2832   0.3653   0.3260   1.2225   0.6879   0.3083   1.4057   0.2470   0.2250   1.1801   1.3874   0.1609   0.0000  73.5773   0.4700       ML
      151   0.5080   1.6914   0.4640   0.2869   0.0330   1.5246   0.3796   0.3376   1.6038   0.4624   0.3092   1.8825   0.6725   0.3610   1.7955   0.7291   0.3538   1.7269   0.4471   0.3380   1.8562   0.8705   0.3453   1.6056   0.5917   0.3849   1.4696   0.9432   0.4064   1.6727   0.5133   0.3804   1.8071   1.1527   0.3566   1.7668   0.7533   0.3559   0.0000 561.3061   0.4910       ML
      152   0.4690   1.8438   0.3587   0.3064   0.0715   2.0604   0.7406   0.2713   1.8884   0.5271   0.2983   2.2712   0.7742   0.3349   1.9366   1.0088   0.3784   1.8879   0.7500   0.3030   1.8759   0.8392   0.3707   2.1773   1.1002   0.3190   1.9503   0.5282   0.2851   2.1371   0.9695   0.3956   2.1693   1.4451   0.4425   2.3147   0.9621   0.2729   0.0000 665.8482   0.5600       ML
      153   0.4819   1.7735   0.1987   0.4193   0.1033   2.0316   0.2255   0.2829   1.9451   0.1656   0.3858   2.0340   1.0220   0.6870   2.0139   0.8954   0.4571   1.8859   0.3593   0.3314   1.6703   0.7519   0.5331   2.0890   0.8022   0.3821   1.8516   0.6645   0.4602   1.9947   1.3585   0.5030   2.3246   1.2715   0.4276   1.8196   0.9316   0.4768   0.0000 684.8198   0.4540       ML
      154   0.5955   1.5481   0.3902   0.1144  -0.0304   1.0925   0.8462   0.2587   1.1152   0.8302   0.2597   1.7398   0.8636   0.2204   1.5186   1.5381   0.2329   1.4463   0.9998   0.1581   1.5576   1.2315   0.1892   1.6638   1.8524   0.2141   1.2722   1.0965   0.2711   1.3610   1.1714   0.2817   1.0364   1.0710   0.2812   1.9075   1.3212   0.1260   0.0000 112.3700   0.5010       ML
      155   0.3827   1.2578   1.0638   0.2353   0.1326   1.3166   1.4469   0.2180   1.4418   1.7661   0.1753   1.4591   2.3133   0.3719   1.5637   2.6677   0.2853   1.1327   1.6943   0.2704   1.4726   3.2689   0.3201   1.4678   2.7630   0.2987   1.6729   2.4888   0.3047   1.7461   3.5792   0.3943   1.4923   3.4171   0.3483   1.3399   2.5493   0.3315   0.0000 -58.7929   0.5410       ML
