SubName;WhichTrial;WhichBlock;FaceCombination;FacesCorrect;AllAnswers;RTimeWS;RTimeHM;HLcol;HLRAWcol;AllLags;AllSOAs;Tilt4T1;Tilt4T2;STime
101;211;3;1;0;1;0.763086957;2.034165446;1;1;1;1;3;0.3501;12
101;212;3;4;0;1;0.625293035;1.215340643;1;1;1;1;8;0.9336;-12
101;213;3;4;0;1;0.416197395;1.11423724;1;1;1;1;2;0.2334;-12
101;214;3;6;1;0;0.406107663;0.828303667;1;1;1;1;2;0.2334;-12
101;215;3;3;0;0;0.870305447;1.384324067;1;1;1;1;8;0.9336;12
101;216;3;1;0;1;0.366843111;0.754600075;1;1;1;1;5;0.5835;-12
101;217;3;2;0;1;0.948075204;1.25806977;1;1;1;1;10;1.167;12
101;218;3;1;1;1;0.412632982;0.834665789;1;1;1;1;3;0.3501;12
101;219;3;1;0;0;0.435821031;0.770843293;1;1;1;1;2;0.2334;-12
101;220;3;5;1;0;0.676386166;1.020723455;1;1;1;1;8;0.9336;-12
101;221;3;6;1;1;0.397566701;0.847584269;1;1;1;1;1;0.1167;-12
101;222;3;6;1;1;0.456092975;0.868090448;1;1;1;1;5;0.5835;-12
101;223;3;5;1;0;0.583040699;0.96603519;1;1;1;1;2;0.2334;-12
101;224;3;2;0;0;0.440928136;0.880971809;1;1;1;1;3;0.3501;-12
101;225;3;4;0;1;0.806144078;1.158136905;1;1;1;1;1;0.1167;-12
101;226;3;1;0;0;0.526693265;0.89602497;1;1;1;1;3;0.3501;-12
101;227;3;6;1;0;0.621565744;0.979562939;1;1;1;1;1;0.1167;-12
101;228;3;4;0;0;1.070756447;1.559769451;1;1;1;1;1;0.1167;12
101;229;3;4;0;0;0.450697235;0.747698763;1;1;1;1;5;0.5835;-12
101;230;3;3;0;1;0.590169846;0.901165994;1;1;1;1;1;0.1167;-12
101;231;3;4;0;0;0.478708555;0.811719014;1;1;1;1;3;0.3501;12
101;232;3;3;0;1;0.356546982;0.747582925;1;1;1;1;5;0.5835;-12
101;233;3;2;0;1;0.681098079;1.126119899;1;1;1;1;1;0.1167;12
101;234;3;5;1;1;0.436340702;1.041374592;1;1;1;1;5;0.5835;-12
101;235;3;3;0;0;0.437525;0.745550963;1;1;1;1;3;0.3501;12
101;236;3;1;0;1;0.37610406;0.781152542;1;1;1;1;10;1.167;-12
101;237;3;5;1;0;0.696268037;0.977291941;1;1;1;1;8;0.9336;-12
101;238;3;3;0;0;0.921215542;1.105551961;1;1;1;1;10;1.167;-12
101;239;3;4;0;0;0.543019682;0.962053184;1;1;1;1;1;0.1167;-12
101;240;3;1;0;0;0.515983063;0.709000281;1;1;1;1;3;0.3501;12
101;241;3;1;0;1;0.482437446;0.751512452;1;1;1;1;8;0.9336;12
101;242;3;4;0;0;1.438069949;1.676042493;1;1;1;1;5;0.5835;12
101;243;3;1;0;1;0.552940777;1.282974908;1;1;1;1;1;0.1167;12
101;244;3;4;0;1;0.561130385;0.944135117;1;1;1;1;1;0.1167;12
101;245;3;3;0;1;0.625664548;1.10075173;1;1;1;1;3;0.3501;-12
101;246;3;5;1;1;0.411204528;0.799224846;1;1;1;1;3;0.3501;-12
101;247;3;3;0;1;0.692752583;1.01078412;1;1;1;1;3;0.3501;12
101;248;3;1;0;0;0.405634391;0.837672773;1;1;1;1;10;1.167;12
101;249;3;3;0;1;0.358883259;0.667841045;1;1;1;1;5;0.5835;-12
101;250;3;3;0;1;0.395690256;0.647726218;1;1;1;1;3;0.3501;12
101;251;3;5;1;0;0.576257465;0.831694324;1;1;1;1;8;0.9336;-12
101;252;3;4;0;0;0.656398057;0.963408679;1;1;1;1;1;0.1167;-12
101;253;3;6;1;1;0.526332631;0.939347366;1;1;1;1;2;0.2334;-12
101;254;3;2;0;0;0.642612073;1.130583816;1;1;1;1;1;0.1167;-12
101;255;3;1;0;1;0.370642081;0.795214361;1;1;1;1;5;0.5835;-12
101;256;3;3;1;0;0.607260089;0.98328479;1;1;1;1;8;0.9336;-12
101;257;3;3;0;1;0.46553696;0.894550117;1;1;1;1;1;0.1167;12
101;258;3;1;0;1;0.39599073;0.802991816;1;1;1;1;1;0.1167;12
101;259;3;2;1;1;0.677447267;1.070453092;1;1;1;1;5;0.5835;12
101;260;3;2;0;0;0.540489489;0.806513991;1;1;1;1;5;0.5835;-12
101;261;3;5;1;1;0.463267882;0.814020412;1;1;1;1;2;0.2334;-12
101;262;3;2;0;1;0.390796907;0.735822183;1;1;1;1;3;0.3501;-12
101;263;3;1;1;1;1.026053916;1.341140548;1;1;1;1;8;0.9336;-12
101;264;3;4;1;1;1.31732947;1.639324774;1;1;1;1;8;0.9336;-12
101;265;3;3;1;1;1.357604243;1.8696101;1;1;1;1;8;0.9336;-12
101;266;3;2;1;1;0.677504226;1.070529251;1;1;1;1;5;0.5835;12
101;267;3;1;0;1;0.717405565;1.174415963;1;1;1;1;5;0.5835;-12
101;268;3;1;1;1;1.103323522;1.383316086;1;1;1;1;10;1.167;12
101;269;3;2;0;0;0.931535671;1.296553856;1;1;1;1;3;0.3501;-12
101;270;3;1;0;0;0.696044041;1.063072429;1;1;1;1;5;0.5835;12
101;271;3;2;0;1;0.590934952;0.815937816;1;1;1;1;3;0.3501;12
101;272;3;1;1;1;0.401807262;0.709731467;1;1;1;1;8;0.9336;-12
101;273;3;5;1;1;0.410656698;0.858665343;1;1;1;1;2;0.2334;-12
101;274;3;4;1;1;0.648883957;1.032411878;1;1;1;1;1;0.1167;-12
101;275;3;2;0;0;0.475345418;0.824395259;1;1;1;1;2;0.2334;-12
101;276;3;4;0;0;0.48060996;0.881624917;1;1;1;1;2;0.2334;-12
101;277;3;1;0;1;0.640815946;1.230845636;1;1;1;1;1;0.1167;-12
101;278;3;1;1;1;1.346081577;3.112205597;1;1;1;1;8;0.9336;-12
101;279;3;6;0;1;0.741107205;1.406121422;1;1;1;1;3;0.3501;-12
101;280;3;3;0;0;0.837667653;1.175673539;1;1;1;1;2;0.2334;12
101;281;3;2;0;0;0.657592915;1.202617039;1;1;1;1;5;0.5835;12
101;282;3;2;1;1;0.763157676;1.229174947;1;1;1;1;10;1.167;-12
101;283;3;1;0;0;0.773105331;1.524070593;1;1;1;1;10;1.167;-12
101;284;3;1;1;1;1.177997656;1.631011328;1;1;1;1;2;0.2334;12
101;285;3;5;1;1;0.481232348;0.806440072;1;1;1;1;3;0.3501;-12
101;286;3;2;1;1;1.147762698;1.647763018;1;1;1;1;10;1.167;-12
101;287;3;2;1;1;0.411366445;0.719371928;1;1;1;1;3;0.3501;12
101;288;3;4;0;1;0.856182189;1.157199002;1;1;1;1;2;0.2334;12
101;289;3;6;1;1;0.432718049;0.895726415;1;1;1;1;1;0.1167;-12
101;290;3;1;1;1;1.246298789;1.62231773;1;1;1;1;8;0.9336;12
101;291;3;1;0;1;0.66216915;1.525243051;1;1;1;1;1;0.1167;-12
101;292;3;3;0;0;0.746464866;1.052479346;1;1;1;1;3;0.3501;12
101;293;3;2;0;0;0.516052822;0.954052693;1;1;1;1;2;0.2334;-12
101;294;3;6;1;1;0.492591498;0.873594026;1;1;1;1;5;0.5835;-12
101;295;3;2;0;0;0.507392183;1.154691849;1;1;1;1;3;0.3501;12
101;296;3;2;0;0;0.970058476;1.569058558;1;1;1;1;2;0.2334;12
101;297;3;3;0;1;0.417867764;1.323987267;1;1;1;1;2;0.2334;-12
101;298;3;5;1;0;0.632793375;1.160824535;1;1;1;1;2;0.2334;-12
101;299;3;2;1;1;1.532459878;2.54148115;1;1;1;1;8;0.9336;-12
101;300;3;6;1;1;0.672676475;1.480696998;1;1;1;1;8;0.9336;-12
101;301;4;4;0;1;1.113248778;1.299263246;1;1;1;1;1;0.1167;-12
101;302;4;3;0;1;0.5107966;0.839820573;1;1;1;1;2;0.2334;12
101;303;4;5;1;1;0.38307929;0.826086108;1;1;1;1;2;0.2334;-12
101;304;4;3;0;1;0.362855985;0.544889407;1;1;1;1;3;0.3501;12
101;305;4;1;0;0;0.37176302;0.715082728;1;1;1;1;2;0.2334;-12
101;306;4;4;0;0;0.256248044;0.624270014;1;1;1;1;1;0.1167;-12
101;307;4;2;1;1;0.288021854;0.73114515;1;1;1;1;5;0.5835;-12
101;308;4;6;1;1;0.616328401;0.944347913;1;1;1;1;1;0.1167;-12
101;309;4;4;1;1;0.852441779;1.097578349;1;1;1;1;8;0.9336;12
101;310;4;2;0;1;0.246115432;0.86312926;1;1;1;1;1;0.1167;12
101;311;4;3;0;1;0.430942402;0.735962661;1;1;1;1;5;0.5835;12
101;312;4;1;0;1;0.505191584;0.868195406;1;1;1;1;3;0.3501;12
101;313;4;6;1;0;0.416026199;0.744031631;1;1;1;1;2;0.2334;-12
101;314;4;1;0;1;0.595582546;0.917626169;1;1;1;1;3;0.3501;-12
101;315;4;2;0;0;0.351505476;0.712525336;1;1;1;1;5;0.5835;-12
101;316;4;1;0;1;0.376497012;0.684457376;1;1;1;1;2;0.2334;-12
101;317;4;4;1;0;0.525456808;1.539501987;1;1;1;1;10;1.167;-12
101;318;4;1;0;1;0.712785491;1.014793325;1;1;1;1;3;0.3501;12
101;319;4;4;0;1;0.455718262;0.632717537;1;1;1;1;3;0.3501;12
101;320;4;6;1;1;0.690886057;0.990878569;1;1;1;1;2;0.2334;-12
101;321;4;2;1;1;0.61855716;1.059087223;1;1;1;1;5;0.5835;12
101;322;4;5;1;1;0.642694632;1.017683832;1;1;1;1;3;0.3501;-12
101;323;4;4;0;0;0.570554531;1.074566296;1;1;1;1;10;1.167;-12
101;324;4;1;0;0;0.787421865;1.4504422;1;1;1;1;10;1.167;-12
101;325;4;2;0;0;0.531057024;0.961075922;1;1;1;1;1;0.1167;12
101;326;4;1;0;1;0.700874992;1.802920778;1;1;1;1;1;0.1167;12
101;327;4;1;0;1;0.532529636;1.031577334;1;1;1;1;2;0.2334;12
101;328;4;3;0;1;0.510733561;0.804771303;1;1;1;1;2;0.2334;12
